address,owner,amount
HeMxCh5SozqLth4QPpU1cbEw29ueqFUKSYP6369GX1HV,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,"1,669.00"
6rSvCdcYrhU8RyyEKSbYYkX28xK61tTpvpqmhKLnaGsR,9GhwnAtDoz6uUimJ1c5Z7rQNMZzW6eqaM6fcfjkBtRfC,"1,665.38"
H6vR3me51TqhXvij4zNV8Qybf5HvBnkFKtMg3bFMX7mi,7JX1AwE45r7PdmwMnWsoRABuos1WzYP6oUhhyU8Vrgar,"1,549.20"
EMkdSK93kcZViht1quv5VyjDnoEra53tTY42RKs1gnhQ,9x4x9RBZRxL7sv8we81tAB7qaRoFeffDQFjho3qaGpHY,"1,523.20"
4T6MzjGdeKu1MZywF5gKqzGBphC5CiGcsLUQJfPKiPNw,QSDxWZebwJ73MsunvfTWF32T1R7vqVYqj8kS15TjURe,"1,394.00"
FLx4LBKfQPBcj15YKczfxXpuQUK3x9pmRNoAkcPd3USM,DfmASW1GJaCXS1qbyHALDDkPiNNwNYL9wnEt8wBYqKsS,"1,393.51"
GDeE8e8zRE5XES8ZE9P71RgdXSrD3nMVTm96GPpmM7G7,AtWgt5PbdiMwQ8vVi5oofdgMKRq5VsLmcypkdg3Thinz,"1,391.50"
AinQmETD4NG8jBpqXaAkn5D6ukeDes5jwdWBvR1R5pTm,CPfh35TTUnozQXRCStMWE39Fo51HZGfCGA76Y8rjXB5X,"1,382.44"
8ZFjVtrayn4Yf4U5Nrai4yYzHUJzekTiXbjE58WidJae,Gdt1h78EPgvcHgASgYNBet4pUNv2Ji53AvPYokUnmzW9,"1,377.00"
EHfBUC71VhxVz6UAyDcN8w8LLe4G3CzCqvSSenKA8iWU,3n1zDQwLByDvGGBG84sfsowq84bE3ZM6TYjLJhCTBSqg,"1,352.98"
6nbT6gqZyyxrZypa1Rxp2YMVsxNjBDeTim26hqSo4aYb,6WU9uiMTCqEUguST8CxohtvxwuoWecxaLWWdMPD99S54,"1,201.52"
7UbeAZxpza5zN3QawQ5KsUo88zXvohUncYB9Zk5QCiim,DdHDoz94o2WJmD9myRobHCwtx1bESpHTd4SSPe6VEZaz,"1,191.13"
5q8qYD6JdUat8VhqomdM5gLHSmTVHGv57mPZa6fqtCqD,83h16EHTmv3TZatLLQ1C2GcrVaZGFR8eKdq2po3pv4r9,"1,182.60"
4raBfy5g5Mr5iGMPUfK4bGJV96Emui9Nw773WLWqyMKB,4ovUPFs7vWeSyxy1Y1wYieyPNz9HxMzDZC7agxGGYFhC,"1,177.40"
DfjKKQGVaYbga9RMwVrLRhDmB6iRaxPrVpuXKp762ywk,C4KtjNf1nHz7AyMDY7DSE5JEG95J9ji2r6KM6kd1qUye,"1,169.72"
